stock,date,db_rows,db_close_rows,qlib_close_rows,qlib_close_non_null,qlib_close_file_exists,qlib_close_bin
001324.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001324.sz/close.1min.bin
001326.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001326.sz/close.1min.bin
001328.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001328.sz/close.1min.bin
001330.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001330.sz/close.1min.bin
001332.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001332.sz/close.1min.bin
001333.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001333.sz/close.1min.bin
001337.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001337.sz/close.1min.bin
001339.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001339.sz/close.1min.bin
001356.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001356.sz/close.1min.bin
001358.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001358.sz/close.1min.bin
001360.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001360.sz/close.1min.bin
001366.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001366.sz/close.1min.bin
001367.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001367.sz/close.1min.bin
001376.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001376.sz/close.1min.bin
001379.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001379.sz/close.1min.bin
001382.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001382.sz/close.1min.bin
001387.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001387.sz/close.1min.bin
001388.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001388.sz/close.1min.bin
001389.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001389.sz/close.1min.bin
001390.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001390.sz/close.1min.bin
001395.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001395.sz/close.1min.bin
001400.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001400.sz/close.1min.bin
001872.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001872.sz/close.1min.bin
001979.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/001979.sz/close.1min.bin
002004.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/002004.sz/close.1min.bin
002006.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/002006.sz/close.1min.bin
002007.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/002007.sz/close.1min.bin
002011.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/002011.sz/close.1min.bin
002015.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/002015.sz/close.1min.bin
002016.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/002016.sz/close.1min.bin
002017.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/002017.sz/close.1min.bin
002019.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/002019.sz/close.1min.bin
002021.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/002021.sz/close.1min.bin
002022.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/002022.sz/close.1min.bin
002024.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/002024.sz/close.1min.bin
002033.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/002033.sz/close.1min.bin
002034.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/002034.sz/close.1min.bin
002045.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/002045.sz/close.1min.bin
002049.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/002049.sz/close.1min.bin
002051.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/002051.sz/close.1min.bin
002052.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/002052.sz/close.1min.bin
002053.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/002053.sz/close.1min.bin
002058.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/002058.sz/close.1min.bin
002059.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/002059.sz/close.1min.bin
